Unnamed: 0,image_filename,realative_coordinates,label,fold
412,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-06-29.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
413,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-07-02.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
414,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-07-04.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
415,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-07-07.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
416,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-07-09.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
417,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-07-12.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
418,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-07-14.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
419,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-07-19.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
420,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-07-24.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
421,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-07-27.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
422,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-08-01.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
423,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-08-06.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
424,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-08-08.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
425,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-08-16.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
426,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-08-18.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
427,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-08-21.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
428,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-08-23.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
429,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-08-28.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
430,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-09-07.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
431,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-09-12.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
432,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-09-15.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
433,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-09-20.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
434,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-09-22.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
435,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-09-27.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
436,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-09-30.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
437,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-10-02.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
438,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-10-05.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
439,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-10-07.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
440,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-10-10.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
441,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-10-15.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
442,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-10-17.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
443,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-11-09.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
444,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-11-11.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
445,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-11-14.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
446,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-11-19.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
447,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-11-29.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
448,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-12-01.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
449,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-12-06.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
450,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-12-11.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
451,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-12-16.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
452,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-12-19.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
453,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-12-24.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
454,./data/predictors_data generating predictor 004.train.dir/image_0010_sentinel-map-time-test-dir__2019-12-31.png,"[0.24796088888979284, 0.07971942646508978, 0.6027655111101922, 0.7946799742676376]",incorrect,1
455,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-01-05.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
456,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-01-08.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
457,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-01-10.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
458,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-01-13.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
459,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-01-15.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
460,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-01-18.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
461,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-01-25.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
462,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-01-28.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
463,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-01-30.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
464,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-02-04.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
465,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-02-07.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
466,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-02-09.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
467,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-02-14.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
468,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-02-17.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
469,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-02-19.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
470,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-02-22.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
471,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-02-24.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
472,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-02-27.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
473,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-03-01.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
474,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-03-04.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
475,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-03-06.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
476,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-03-09.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
477,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-03-14.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
478,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-03-16.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
479,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-03-19.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
480,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-03-21.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
481,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-03-24.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
482,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-04-03.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
483,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-04-08.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
484,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-04-10.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
485,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-04-13.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
486,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-04-15.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
487,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-04-18.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
488,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-04-20.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
489,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-04-28.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
490,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-05-03.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
491,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-05-08.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
492,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-05-10.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
493,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-05-13.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
494,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-05-15.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
495,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-05-28.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
496,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-05-30.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
497,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-06-02.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
498,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-06-04.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
499,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-06-12.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
500,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-06-17.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
501,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-06-19.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
502,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-06-22.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
503,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-06-29.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
504,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-07-02.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
505,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-07-04.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
506,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-07-07.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
507,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-07-09.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
508,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-07-12.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
509,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-07-14.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
510,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-07-19.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
511,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-07-24.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
512,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-07-27.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
513,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-08-01.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
514,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-08-06.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
515,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-08-08.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
516,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-08-16.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
517,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-08-18.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
518,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-08-21.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
519,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-08-23.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
520,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-08-28.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
521,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-09-07.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
522,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-09-12.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
523,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-09-15.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
524,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-09-20.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
525,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-09-22.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
526,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-09-27.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
527,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-09-30.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
528,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-10-02.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
529,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-10-05.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
530,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-10-07.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
531,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-10-10.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
532,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-10-15.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
533,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-10-17.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
534,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-11-09.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
535,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-11-11.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
536,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-11-14.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
537,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-11-19.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
538,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-11-29.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
539,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-12-01.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
540,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-12-06.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
541,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-12-11.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
542,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-12-16.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
543,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-12-19.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
544,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-12-24.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
545,./data/predictors_data generating predictor 004.train.dir/image_0008_sentinel-map-time-test-dir__2019-12-31.png,"[0.11217635555294692, 0.08229062415921362, 0.8217856000010215, 0.7960812103992794]",incorrect,0
546,./data/predictors_data generating predictor 004.train.dir/image_0005_sentinel-map-time-test-dir__2019-01-05.png,"[0.2256184888901771, 0.24780180462130375, 0.9352277333346137, 0.6048983406981279]",incorrect,0
547,./data/predictors_data generating predictor 004.train.dir/image_0005_sentinel-map-time-test-dir__2019-01-08.png,"[0.2256184888901771, 0.24780180462130375, 0.9352277333346137, 0.6048983406981279]",incorrect,0
548,./data/predictors_data generating predictor 004.train.dir/image_0005_sentinel-map-time-test-dir__2019-01-10.png,"[0.2256184888901771, 0.24780180462130375, 0.9352277333346137, 0.6048983406981279]",incorrect,0
549,./data/predictors_data generating predictor 004.train.dir/image_0005_sentinel-map-time-test-dir__2019-01-13.png,"[0.2256184888901771, 0.24780180462130375, 0.9352277333346137, 0.6048983406981279]",incorrect,0
550,./data/predictors_data generating predictor 004.train.dir/image_0005_sentinel-map-time-test-dir__2019-01-15.png,"[0.2256184888901771, 0.24780180462130375, 0.9352277333346137, 0.6048983406981279]",incorrect,0
